id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
cc355835-8a85-488a-adb3-eab9d4c52611	2023-11-06T19:28:57+00:00	1	beads	manual	chl_small	pe						
cc355835-8a85-488a-adb3-eab9d4c52611	2023-11-06T19:28:57+00:00	2	synecho	manual	fsc_small	pe						
cc355835-8a85-488a-adb3-eab9d4c52611	2023-11-06T19:28:57+00:00	3	croco	manual	chl_small	pe						
cc355835-8a85-488a-adb3-eab9d4c52611	2023-11-06T19:28:57+00:00	4	prochloro	manual	fsc_small	chl_small						
cc355835-8a85-488a-adb3-eab9d4c52611	2023-11-06T19:28:57+00:00	5	picoeuk	manual	fsc_small	chl_small						
6c3fea41-851c-4a95-906c-20fe60412fc6	2023-11-06T19:30:53+00:00	1	beads	manual	chl_small	pe						
6c3fea41-851c-4a95-906c-20fe60412fc6	2023-11-06T19:30:53+00:00	2	synecho	manual	fsc_small	pe						
6c3fea41-851c-4a95-906c-20fe60412fc6	2023-11-06T19:30:53+00:00	3	croco	manual	chl_small	pe						
6c3fea41-851c-4a95-906c-20fe60412fc6	2023-11-06T19:30:53+00:00	4	prochloro	manual	fsc_small	chl_small						
6c3fea41-851c-4a95-906c-20fe60412fc6	2023-11-06T19:30:53+00:00	5	picoeuk	manual	fsc_small	chl_small						
9a76e762-34f2-4564-a1ff-b11a4e61266c	2023-11-06T19:33:21+00:00	1	beads	manual	chl_small	pe						
9a76e762-34f2-4564-a1ff-b11a4e61266c	2023-11-06T19:33:21+00:00	2	synecho	manual	fsc_small	pe						
9a76e762-34f2-4564-a1ff-b11a4e61266c	2023-11-06T19:33:21+00:00	3	croco	manual	chl_small	pe						
9a76e762-34f2-4564-a1ff-b11a4e61266c	2023-11-06T19:33:21+00:00	4	prochloro	manual	fsc_small	chl_small						
9a76e762-34f2-4564-a1ff-b11a4e61266c	2023-11-06T19:33:21+00:00	5	picoeuk	manual	fsc_small	chl_small						
75b0fbad-3754-49b8-b921-f1dce030956d	2023-11-06T19:41:38+00:00	1	beads	manual	chl_small	pe						
75b0fbad-3754-49b8-b921-f1dce030956d	2023-11-06T19:41:38+00:00	2	synecho	manual	chl_small	pe						
75b0fbad-3754-49b8-b921-f1dce030956d	2023-11-06T19:41:38+00:00	3	croco	manual	chl_small	pe						
75b0fbad-3754-49b8-b921-f1dce030956d	2023-11-06T19:41:38+00:00	4	prochloro	manual	fsc_small	chl_small						
75b0fbad-3754-49b8-b921-f1dce030956d	2023-11-06T19:41:38+00:00	5	picoeuk	manual	fsc_small	chl_small						
a3b96a71-c529-4d72-bea4-e329d8fa5ff8	2023-11-06T19:45:04+00:00	1	beads	manual	chl_small	pe						
a3b96a71-c529-4d72-bea4-e329d8fa5ff8	2023-11-06T19:45:04+00:00	2	synecho	manual	fsc_small	pe						
a3b96a71-c529-4d72-bea4-e329d8fa5ff8	2023-11-06T19:45:04+00:00	3	croco	manual	chl_small	pe						
a3b96a71-c529-4d72-bea4-e329d8fa5ff8	2023-11-06T19:45:04+00:00	4	prochloro	manual	fsc_small	chl_small						
a3b96a71-c529-4d72-bea4-e329d8fa5ff8	2023-11-06T19:45:04+00:00	5	picoeuk	manual	fsc_small	chl_small						
f5d253b8-202c-4b9f-9330-64adc2e83977	2023-11-06T19:47:23+00:00	1	beads	manual	chl_small	pe						
f5d253b8-202c-4b9f-9330-64adc2e83977	2023-11-06T19:47:23+00:00	2	synecho	manual	fsc_small	pe						
f5d253b8-202c-4b9f-9330-64adc2e83977	2023-11-06T19:47:23+00:00	3	croco	manual	chl_small	pe						
f5d253b8-202c-4b9f-9330-64adc2e83977	2023-11-06T19:47:23+00:00	4	prochloro	manual	fsc_small	chl_small						
f5d253b8-202c-4b9f-9330-64adc2e83977	2023-11-06T19:47:23+00:00	5	picoeuk	manual	fsc_small	chl_small						
f52c1458-0b72-4bdf-bda5-bf67b41df585	2023-11-06T19:48:50+00:00	1	beads	manual	chl_small	pe						
f52c1458-0b72-4bdf-bda5-bf67b41df585	2023-11-06T19:48:50+00:00	2	synecho	manual	fsc_small	pe						
f52c1458-0b72-4bdf-bda5-bf67b41df585	2023-11-06T19:48:50+00:00	3	croco	manual	chl_small	pe						
f52c1458-0b72-4bdf-bda5-bf67b41df585	2023-11-06T19:48:50+00:00	4	prochloro	manual	fsc_small	chl_small						
f52c1458-0b72-4bdf-bda5-bf67b41df585	2023-11-06T19:48:50+00:00	5	picoeuk	manual	fsc_small	chl_small						
