id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
0a5e4a3c-a8c2-4762-a03b-955c853ccd5c	2018-10-19T15:58:08+00:00	1	beads	manual	fsc_small	pe						
0a5e4a3c-a8c2-4762-a03b-955c853ccd5c	2018-10-19T15:58:08+00:00	2	synecho	manual	fsc_small	pe						
0a5e4a3c-a8c2-4762-a03b-955c853ccd5c	2018-10-19T15:58:08+00:00	3	prochloro	auto	fsc_small	chl_small	1.3	0.3	0	1	0.99	1.0
0a5e4a3c-a8c2-4762-a03b-955c853ccd5c	2018-10-19T15:58:08+00:00	4	picoeuk	manual	fsc_small	chl_small						
bf5f0abf-728d-4d6d-b13a-ed4bb9a6f819	2018-11-20T23:46:58+00:00	1	beads	manual	fsc_small	pe						
bf5f0abf-728d-4d6d-b13a-ed4bb9a6f819	2018-11-20T23:46:58+00:00	2	synecho	manual	fsc_small	pe						
bf5f0abf-728d-4d6d-b13a-ed4bb9a6f819	2018-11-20T23:46:58+00:00	3	picoeuk	manual	fsc_small	chl_small						
d7e7b81b-c9e2-4310-9aba-bcb6daf333de	2018-11-21T00:59:43+00:00	1	beads	manual	fsc_small	pe						
d7e7b81b-c9e2-4310-9aba-bcb6daf333de	2018-11-21T00:59:43+00:00	2	synecho	manual	fsc_small	pe						
d7e7b81b-c9e2-4310-9aba-bcb6daf333de	2018-11-21T00:59:43+00:00	3	prochloro	auto	fsc_small	chl_small	2.0	0.6	0	1	0.975	1.75
d7e7b81b-c9e2-4310-9aba-bcb6daf333de	2018-11-21T00:59:43+00:00	4	picoeuk	manual	fsc_small	chl_small						
0d6f21a7-6e42-463e-b975-c8af915cc50e	2018-11-21T01:18:42+00:00	1	beads	manual	fsc_small	pe						
0d6f21a7-6e42-463e-b975-c8af915cc50e	2018-11-21T01:18:42+00:00	2	synecho	manual	fsc_small	pe						
0d6f21a7-6e42-463e-b975-c8af915cc50e	2018-11-21T01:18:42+00:00	3	croco	manual	fsc_small	pe						
0d6f21a7-6e42-463e-b975-c8af915cc50e	2018-11-21T01:18:42+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.3	0	1	0.975	1.5
0d6f21a7-6e42-463e-b975-c8af915cc50e	2018-11-21T01:18:42+00:00	5	picoeuk	manual	fsc_small	chl_small						
9df1a586-4d0d-4c87-905d-cd62d4ec072b	2018-11-21T19:08:58+00:00	1	beads	manual	fsc_small	pe						
9df1a586-4d0d-4c87-905d-cd62d4ec072b	2018-11-21T19:08:58+00:00	2	synecho	manual	fsc_small	pe						
9df1a586-4d0d-4c87-905d-cd62d4ec072b	2018-11-21T19:08:58+00:00	3	prochloro	auto	fsc_small	chl_small	1.5	0.3	0	1	0.975	1.5
9df1a586-4d0d-4c87-905d-cd62d4ec072b	2018-11-21T19:08:58+00:00	4	picoeuk	manual	fsc_small	chl_small						
607f1719-a32e-4a68-b10e-b4c6899e5676	2018-11-21T19:21:56+00:00	1	beads	manual	fsc_small	pe						
607f1719-a32e-4a68-b10e-b4c6899e5676	2018-11-21T19:21:56+00:00	2	synecho	manual	fsc_small	pe						
607f1719-a32e-4a68-b10e-b4c6899e5676	2018-11-21T19:21:56+00:00	3	croco	manual	fsc_small	pe						
607f1719-a32e-4a68-b10e-b4c6899e5676	2018-11-21T19:21:56+00:00	4	prochloro	auto	fsc_small	chl_small	1.75	0.6	0	1	0.975	2.0
607f1719-a32e-4a68-b10e-b4c6899e5676	2018-11-21T19:21:56+00:00	5	picoeuk	manual	fsc_small	chl_small						
