id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
3f78eb50-7bc1-46cf-8808-d80d5c9b2a59	2023-11-16T18:47:16+00:00	1	beads	manual	chl_small	pe						
3f78eb50-7bc1-46cf-8808-d80d5c9b2a59	2023-11-16T18:47:16+00:00	2	synecho	manual	fsc_small	pe						
3f78eb50-7bc1-46cf-8808-d80d5c9b2a59	2023-11-16T18:47:16+00:00	3	croco	manual	chl_small	pe						
3f78eb50-7bc1-46cf-8808-d80d5c9b2a59	2023-11-16T18:47:16+00:00	4	prochloro	auto	fsc_small	chl_small	1.75	0.9	0	1	0.975	3.0
3f78eb50-7bc1-46cf-8808-d80d5c9b2a59	2023-11-16T18:47:16+00:00	5	picoeuk	manual	fsc_small	chl_small						
2d674d91-caa2-467b-a2b5-bc943eed5828	2023-11-16T18:50:25+00:00	1	beads	manual	chl_small	pe						
2d674d91-caa2-467b-a2b5-bc943eed5828	2023-11-16T18:50:25+00:00	2	synecho	manual	fsc_small	pe						
2d674d91-caa2-467b-a2b5-bc943eed5828	2023-11-16T18:50:25+00:00	3	croco	manual	chl_small	pe						
2d674d91-caa2-467b-a2b5-bc943eed5828	2023-11-16T18:50:25+00:00	4	prochloro	auto	fsc_small	chl_small	1.75	0.9	0	1	0.975	3.0
2d674d91-caa2-467b-a2b5-bc943eed5828	2023-11-16T18:50:25+00:00	5	picoeuk	manual	fsc_small	chl_small						
f6d86372-a089-4cb2-8e4a-3012be1ce1ef	2023-11-16T18:55:11+00:00	1	beads	manual	fsc_small	pe						
f6d86372-a089-4cb2-8e4a-3012be1ce1ef	2023-11-16T18:55:11+00:00	2	synecho	manual	fsc_small	pe						
f6d86372-a089-4cb2-8e4a-3012be1ce1ef	2023-11-16T18:55:11+00:00	3	croco	manual	chl_small	pe						
f6d86372-a089-4cb2-8e4a-3012be1ce1ef	2023-11-16T18:55:11+00:00	4	prochloro	auto	fsc_small	chl_small	1.0	0.4	0	1	0.975	1.0
f6d86372-a089-4cb2-8e4a-3012be1ce1ef	2023-11-16T18:55:11+00:00	5	picoeuk	manual	fsc_small	chl_small						
4017f9a1-1c8d-41ca-b955-1ca2845156ab	2023-11-16T19:02:04+00:00	1	beads	manual	chl_small	pe						
4017f9a1-1c8d-41ca-b955-1ca2845156ab	2023-11-16T19:02:04+00:00	2	synecho	manual	fsc_small	pe						
4017f9a1-1c8d-41ca-b955-1ca2845156ab	2023-11-16T19:02:04+00:00	3	croco	manual	chl_small	pe						
4017f9a1-1c8d-41ca-b955-1ca2845156ab	2023-11-16T19:02:04+00:00	4	prochloro	manual	fsc_small	chl_small						
4017f9a1-1c8d-41ca-b955-1ca2845156ab	2023-11-16T19:02:04+00:00	5	picoeuk	manual	fsc_small	chl_small						
28e3e431-c06d-4ff8-9d18-2fd808260c18	2023-11-16T19:04:20+00:00	1	beads	manual	chl_small	pe						
28e3e431-c06d-4ff8-9d18-2fd808260c18	2023-11-16T19:04:20+00:00	2	synecho	manual	fsc_small	pe						
28e3e431-c06d-4ff8-9d18-2fd808260c18	2023-11-16T19:04:20+00:00	3	croco	manual	chl_small	pe						
28e3e431-c06d-4ff8-9d18-2fd808260c18	2023-11-16T19:04:20+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.975	1.0
28e3e431-c06d-4ff8-9d18-2fd808260c18	2023-11-16T19:04:20+00:00	5	picoeuk	manual	fsc_small	chl_small						
fd75c362-9509-46fb-aa8c-daf464007206	2023-11-16T19:19:04+00:00	1	beads	manual	chl_small	pe						
fd75c362-9509-46fb-aa8c-daf464007206	2023-11-16T19:19:04+00:00	2	synecho	manual	fsc_small	pe						
fd75c362-9509-46fb-aa8c-daf464007206	2023-11-16T19:19:04+00:00	3	croco	manual	chl_small	pe						
