id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
d51729a0-c1ce-4444-9b8f-aa60887cf175	2018-11-02T19:05:51+00:00	1	beads	manual	fsc_small	pe						
d51729a0-c1ce-4444-9b8f-aa60887cf175	2018-11-02T19:05:51+00:00	2	synecho	manual	fsc_small	pe						
d51729a0-c1ce-4444-9b8f-aa60887cf175	2018-11-02T19:05:51+00:00	3	croco	manual	fsc_small	pe						
d51729a0-c1ce-4444-9b8f-aa60887cf175	2018-11-02T19:05:51+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.25	0	1	0.975	
d51729a0-c1ce-4444-9b8f-aa60887cf175	2018-11-02T19:05:51+00:00	5	picoeuk	manual	fsc_small	chl_small						
0d33faff-e105-498d-a4da-a9c77a06318f	2020-01-28T21:48:26+00:00	1	beads	manual	fsc_small	pe						
0d33faff-e105-498d-a4da-a9c77a06318f	2020-01-28T21:48:26+00:00	2	synecho	manual	fsc_small	pe						
0d33faff-e105-498d-a4da-a9c77a06318f	2020-01-28T21:48:26+00:00	3	croco	manual	chl_small	pe						
0d33faff-e105-498d-a4da-a9c77a06318f	2020-01-28T21:48:26+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.25	0	1	0.975	
0d33faff-e105-498d-a4da-a9c77a06318f	2020-01-28T21:48:26+00:00	5	picoeuk	manual	fsc_small	chl_small						
47caf797-9a13-4127-995a-040df1935418	2020-02-04T20:56:09+00:00	1	beads	manual	fsc_small	pe						
47caf797-9a13-4127-995a-040df1935418	2020-02-04T20:56:09+00:00	2	synecho	manual	fsc_small	pe						
47caf797-9a13-4127-995a-040df1935418	2020-02-04T20:56:09+00:00	3	croco	manual	pe	chl_small						
47caf797-9a13-4127-995a-040df1935418	2020-02-04T20:56:09+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.25	0	1	0.975	
47caf797-9a13-4127-995a-040df1935418	2020-02-04T20:56:09+00:00	5	picoeuk	manual	fsc_small	chl_small						
