id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
c828f78a-0dab-4a75-b08e-2415a4822233	2019-12-26T18:45:07+00:00	1	beads	manual	chl_small	pe						
c828f78a-0dab-4a75-b08e-2415a4822233	2019-12-26T18:45:07+00:00	2	synecho	manual	chl_small	pe						
c828f78a-0dab-4a75-b08e-2415a4822233	2019-12-26T18:45:07+00:00	3	croco	manual	chl_small	pe						
c828f78a-0dab-4a75-b08e-2415a4822233	2019-12-26T18:45:07+00:00	4	prochloro	auto	fsc_small	chl_small	0.75	0.75	1	1	0.975	
c828f78a-0dab-4a75-b08e-2415a4822233	2019-12-26T18:45:07+00:00	5	picoeuk	manual	fsc_small	chl_small						
69ccfceb-e8e5-4eee-b6b6-3cf94db5c69b	2019-12-26T19:03:15+00:00	1	beads	manual	chl_small	pe						
69ccfceb-e8e5-4eee-b6b6-3cf94db5c69b	2019-12-26T19:03:15+00:00	2	synecho	manual	chl_small	pe						
69ccfceb-e8e5-4eee-b6b6-3cf94db5c69b	2019-12-26T19:03:15+00:00	3	croco	manual	chl_small	pe						
69ccfceb-e8e5-4eee-b6b6-3cf94db5c69b	2019-12-26T19:03:15+00:00	4	prochloro	auto	fsc_small	chl_small	0.75	1.0	1	1	0.975	
69ccfceb-e8e5-4eee-b6b6-3cf94db5c69b	2019-12-26T19:03:15+00:00	5	picoeuk	manual	fsc_small	chl_small						
3ef5b634-430d-4928-9f19-99c26f9f714e	2019-12-26T19:30:17+00:00	1	beads	manual	chl_small	pe						
3ef5b634-430d-4928-9f19-99c26f9f714e	2019-12-26T19:30:17+00:00	2	synecho	manual	chl_small	pe						
3ef5b634-430d-4928-9f19-99c26f9f714e	2019-12-26T19:30:17+00:00	3	croco	manual	chl_small	pe						
3ef5b634-430d-4928-9f19-99c26f9f714e	2019-12-26T19:30:17+00:00	4	prochloro	auto	fsc_small	chl_small	0.75	1.0	1	1	0.975	1.25
3ef5b634-430d-4928-9f19-99c26f9f714e	2019-12-26T19:30:17+00:00	5	picoeuk	manual	fsc_small	chl_small						
756ec50b-07c0-4826-82e8-fb72aa0a0812	2019-12-26T19:44:35+00:00	1	beads	manual	chl_small	pe						
756ec50b-07c0-4826-82e8-fb72aa0a0812	2019-12-26T19:44:35+00:00	2	synecho	manual	chl_small	pe						
756ec50b-07c0-4826-82e8-fb72aa0a0812	2019-12-26T19:44:35+00:00	3	croco	manual	chl_small	pe						
756ec50b-07c0-4826-82e8-fb72aa0a0812	2019-12-26T19:44:35+00:00	4	prochloro	auto	fsc_small	chl_small	0.75	1.0	1	1	0.975	1.25
756ec50b-07c0-4826-82e8-fb72aa0a0812	2019-12-26T19:44:35+00:00	5	picoeuk	manual	fsc_small	chl_small						
dbff3553-62c7-4c3b-978e-be4980e80e8c	2019-12-26T19:53:00+00:00	1	beads	manual	chl_small	pe						
dbff3553-62c7-4c3b-978e-be4980e80e8c	2019-12-26T19:53:00+00:00	2	synecho	manual	chl_small	pe						
dbff3553-62c7-4c3b-978e-be4980e80e8c	2019-12-26T19:53:00+00:00	3	croco	manual	fsc_small	pe						
dbff3553-62c7-4c3b-978e-be4980e80e8c	2019-12-26T19:53:00+00:00	4	prochloro	auto	fsc_small	chl_small	0.75	1.0	1	1	0.975	1.25
dbff3553-62c7-4c3b-978e-be4980e80e8c	2019-12-26T19:53:00+00:00	5	picoeuk	manual	fsc_small	chl_small						
f7644d2f-530a-416d-aa4c-12f20f2f59a4	2019-12-26T20:04:04+00:00	1	beads	manual	chl_small	pe						
f7644d2f-530a-416d-aa4c-12f20f2f59a4	2019-12-26T20:04:04+00:00	2	synecho	manual	chl_small	pe						
f7644d2f-530a-416d-aa4c-12f20f2f59a4	2019-12-26T20:04:04+00:00	3	croco	manual	fsc_small	pe						
f7644d2f-530a-416d-aa4c-12f20f2f59a4	2019-12-26T20:04:04+00:00	4	prochloro	auto	fsc_small	chl_small	0.5	0.5	1	1	0.95	1.25
