pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads				3280.373595191209	74.96915547010948		1	056addde-91ce-4a0c-87d0-98365178d44b
beads				1858.2892401590982	44.986002660346905		2	056addde-91ce-4a0c-87d0-98365178d44b
beads				1127.052286050626	37.63743169376102		3	056addde-91ce-4a0c-87d0-98365178d44b
beads				905.5535168216968	40.13099502250709		4	056addde-91ce-4a0c-87d0-98365178d44b
beads				824.5289819216601	57.33363717910393		5	056addde-91ce-4a0c-87d0-98365178d44b
beads				1041.3429097548933	82.28320222314272		6	056addde-91ce-4a0c-87d0-98365178d44b
beads				1412.6520894697614	106.33528230291118		7	056addde-91ce-4a0c-87d0-98365178d44b
beads				1861.5036718755464	132.07611628542912		8	056addde-91ce-4a0c-87d0-98365178d44b
beads				2390.359591660902	161.35201982870507		9	056addde-91ce-4a0c-87d0-98365178d44b
beads				2829.511739366112	189.78234373038586		10	056addde-91ce-4a0c-87d0-98365178d44b
beads				3611.162241438123	237.63228116139214		11	056addde-91ce-4a0c-87d0-98365178d44b
croco				1647.1677947495293	1633.9757511186208		1	056addde-91ce-4a0c-87d0-98365178d44b
croco				1247.2962454688993	947.6847285419752		2	056addde-91ce-4a0c-87d0-98365178d44b
croco				624.9960354640501	502.5886762784146		3	056addde-91ce-4a0c-87d0-98365178d44b
croco				415.39459444887336	435.2731786543559		4	056addde-91ce-4a0c-87d0-98365178d44b
croco				330.0839134944859	468.0211828786914		5	056addde-91ce-4a0c-87d0-98365178d44b
croco				314.22604803290307	924.2172603725827		6	056addde-91ce-4a0c-87d0-98365178d44b
croco				397.5184682303246	1729.998601724638		7	056addde-91ce-4a0c-87d0-98365178d44b
croco				642.1181384154764	2620.1353652473513		8	056addde-91ce-4a0c-87d0-98365178d44b
croco				1221.9136125689902	2919.983614384867		9	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	3633.416276849948				3734.049675113881		1	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	11.34449390143096				3633.815960458698		2	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	2.3542565277740817				1150.4362882633666		3	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	4.158669172780747				87.39057069491282		4	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	43.07745643296414				16.726292763536033		5	056addde-91ce-4a0c-87d0-98365178d44b
picoeuk	3547.119176000789				862.0065332220997		6	056addde-91ce-4a0c-87d0-98365178d44b
synecho	76.28126786747012			992.822778223318			1	056addde-91ce-4a0c-87d0-98365178d44b
synecho	16.40036552738599			800.8188466471728			2	056addde-91ce-4a0c-87d0-98365178d44b
synecho	6.438971453842208			500.19540638339015			3	056addde-91ce-4a0c-87d0-98365178d44b
synecho	3.6382118641773835			255.14055680061853			4	056addde-91ce-4a0c-87d0-98365178d44b
synecho	2.6796532540200872			98.15159070821946			5	056addde-91ce-4a0c-87d0-98365178d44b
synecho	2.4088360664319617			50.303426843573575			6	056addde-91ce-4a0c-87d0-98365178d44b
synecho	2.562167648836312			27.583171590458875			7	056addde-91ce-4a0c-87d0-98365178d44b
synecho	3.3807277702808296			15.076227490821699			8	056addde-91ce-4a0c-87d0-98365178d44b
synecho	4.504855770090217			10.570584050643955			9	056addde-91ce-4a0c-87d0-98365178d44b
synecho	8.046874758527984			7.422545167628004			10	056addde-91ce-4a0c-87d0-98365178d44b
synecho	18.7690938731609			6.9089322179911195			11	056addde-91ce-4a0c-87d0-98365178d44b
synecho	48.41880411716403			8.745800182737394			12	056addde-91ce-4a0c-87d0-98365178d44b
synecho	95.40412312645906			14.038715506431055			13	056addde-91ce-4a0c-87d0-98365178d44b
synecho	162.96209173605345			26.708407834038706			14	056addde-91ce-4a0c-87d0-98365178d44b
synecho	215.20009798073525			39.00579434337705			15	056addde-91ce-4a0c-87d0-98365178d44b
synecho	301.71986182734713			74.12238120350995			16	056addde-91ce-4a0c-87d0-98365178d44b
synecho	329.2535882011608			128.58628193996665			17	056addde-91ce-4a0c-87d0-98365178d44b
synecho	302.2110453297547			386.42664337376544			18	056addde-91ce-4a0c-87d0-98365178d44b
synecho	230.68946080032876			769.4537617824586			19	056addde-91ce-4a0c-87d0-98365178d44b
synecho	146.47755541843512			896.8193266681444			20	056addde-91ce-4a0c-87d0-98365178d44b
beads				3098.8328836013634	72.40979744310798		1	14085b99-38eb-4843-86be-cf40229c4b3b
beads				1686.4657790141478	41.91998900946427		2	14085b99-38eb-4843-86be-cf40229c4b3b
beads				1085.1507241470551	31.37848356177675		3	14085b99-38eb-4843-86be-cf40229c4b3b
beads				796.677460801067	30.264153897923983		4	14085b99-38eb-4843-86be-cf40229c4b3b
beads				672.687733965172	33.870341893649076		5	14085b99-38eb-4843-86be-cf40229c4b3b
beads				646.1439679483316	45.765593852970895		6	14085b99-38eb-4843-86be-cf40229c4b3b
beads				709.8073821550682	61.49781636645025		7	14085b99-38eb-4843-86be-cf40229c4b3b
beads				1089.12954301855	90.84798261794015		8	14085b99-38eb-4843-86be-cf40229c4b3b
beads				1514.2272960967084	116.07833721587237		9	14085b99-38eb-4843-86be-cf40229c4b3b
beads				2080.2109469803895	144.03119347076017		10	14085b99-38eb-4843-86be-cf40229c4b3b
beads				2722.9316511103266	189.14029866037342		11	14085b99-38eb-4843-86be-cf40229c4b3b
beads				3065.202481637555	246.507201906475		12	14085b99-38eb-4843-86be-cf40229c4b3b
beads				3460.8017668994316	255.6182729044479		13	14085b99-38eb-4843-86be-cf40229c4b3b
beads				3913.420899320173	100.17517995918561		14	14085b99-38eb-4843-86be-cf40229c4b3b
croco				1860.9281488731206	1442.4076783081919		1	14085b99-38eb-4843-86be-cf40229c4b3b
croco				1269.560555440842	613.9304727055278		2	14085b99-38eb-4843-86be-cf40229c4b3b
croco				628.8974624581438	438.4447930956979		3	14085b99-38eb-4843-86be-cf40229c4b3b
croco				448.0935838767756	467.13686044609415		4	14085b99-38eb-4843-86be-cf40229c4b3b
croco				366.93971041457064	708.2703155715096		5	14085b99-38eb-4843-86be-cf40229c4b3b
croco				465.25407789014116	1320.7723632163916		6	14085b99-38eb-4843-86be-cf40229c4b3b
croco				705.6739186869481	1802.0693359093827		7	14085b99-38eb-4843-86be-cf40229c4b3b
croco				1393.8582664520907	2381.684172502766		8	14085b99-38eb-4843-86be-cf40229c4b3b
croco				1671.3613619947587	2105.40666916064		9	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	3782.409659483744				3915.145310970266		1	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	3782.409659483744				3915.145310970266		2	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	8.95519826339928				3506.3690298941365		3	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	2.2580135159809447				1504.763888957291		4	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	3.2678597876356563				50.69188146165942		5	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	22.475542593365912				7.330058298582443		6	14085b99-38eb-4843-86be-cf40229c4b3b
picoeuk	3930.3262918321093				131.4011078889292		7	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	39.19553988340557			999.9472580877942			1	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	19.968554416204466			811.4454611449884			2	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	6.5763574404493195			493.0931579593482			3	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	3.357778262576032			270.2615606021326			4	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	2.144503341348418			107.61786902247991			5	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	2.041398057844776			25.34000339482279			6	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	3.194824015328833			9.628041672439767			7	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	6.523530245722208			6.814757469374785			8	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	12.933009796236801			6.074760297732028			9	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	35.34908376691371			5.892881134894748			10	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	80.94187659240325			7.753696517936475			11	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	134.1602029710765			14.483784501256583			12	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	260.8777407971719			33.17265129038858			13	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	392.7397865224441			72.19124728438524			14	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	507.2486598426345			133.9503231257962			15	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	537.2563255684721			198.71209846167528			16	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	434.14902228707723			322.9634683482562			17	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	327.05175268173986			479.2060016248558			18	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	173.42338108004355			713.231270367952			19	14085b99-38eb-4843-86be-cf40229c4b3b
synecho	66.50537991911068			1032.9429056470904			20	14085b99-38eb-4843-86be-cf40229c4b3b
beads				3665.9075224476105	77.12342799412563		1	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				2783.3869348379976	59.179353716496045		2	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				1981.9422629107855	53.52937077324362		3	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				1483.6491930635843	68.94710595134134		4	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				1706.7033504643264	89.38218329013354		5	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				2264.2803232152296	109.64695920521376		6	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				2638.365050103834	127.70127751655497		7	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				3401.848952137316	157.02582720638927		8	3e8fae99-dd4f-491f-a0db-8865879c32b0
beads				3877.9088095765983	163.27164268394273		9	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				1730.1889052933966	1322.788376000359		1	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				1148.4026650244264	611.351489266031		2	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				726.6889985500205	338.7586007475883		3	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				445.9118922350618	284.84954581167773		4	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				309.73419556925137	397.6687888650898		5	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				296.64024515039677	816.0607252635772		6	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				382.52947549875995	1247.767907488006		7	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				638.7189425556785	1896.2498424546884		8	3e8fae99-dd4f-491f-a0db-8865879c32b0
croco				1317.2961693099141	2245.787378794926		9	3e8fae99-dd4f-491f-a0db-8865879c32b0
picoeuk	3248.5923334309355				3790.051281479611		1	3e8fae99-dd4f-491f-a0db-8865879c32b0
picoeuk	18.54765197125564				3750.9457796154707		2	3e8fae99-dd4f-491f-a0db-8865879c32b0
picoeuk	2.5219770924712286				1206.5056491070977		3	3e8fae99-dd4f-491f-a0db-8865879c32b0
picoeuk	2.793838041175065				97.26091510378548		4	3e8fae99-dd4f-491f-a0db-8865879c32b0
