pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads				3593.097218262698	900.6085217215971		1	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				3833.3127267715304	241.96135403031704		2	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				646.2832637208235	73.93179538519097		3	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				247.0445784133218	121.58932801658871		4	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				246.10146826216908	273.0026470535119		5	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				404.10572497172427	427.6024836651112		6	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				2307.3819698490493	943.286004577099		7	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				996.0289769196537	2768.72993066274		1	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				599.348942338829	1330.915252018242		2	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				336.3683001088863	853.3285306386188		3	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				206.4973043723603	850.9578773237345		4	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				147.72090358944763	1065.1950283694061		5	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				192.6545169054245	2004.8202461780359		6	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
croco				470.69906604586936	3613.887670908674		7	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	3029.395490806778				3721.8848507376083		1	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	11.760425931148118				3604.0079119442767		2	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	2.2282204015608738				214.40378552105247		3	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	2.1574855549834333				77.98937887896886		4	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	56.85886220855729				9.598744961729484		5	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
picoeuk	3667.354874013302				762.167523189983		6	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	18.642224782663636			401.3694347883217			1	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	4.274831963998581			70.58974803057949			2	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	3.6245443769887014			10.751040711576644			3	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	6.4606803112068345			5.872974638428779			4	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	22.971592623482202			3.2316405543211113			5	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	48.53405981271624			3.7537675544519713			6	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	163.72244549533178			15.923632272205264			7	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	169.55114703364785			165.19527874170328			8	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	91.8189226925314			393.3897910341371			9	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
synecho	39.897603524120164			545.1757006131555			10	03d080a7-f4d0-4e99-b9f4-c679c9a9dfb4
beads				3918.828376977145	1364.917018284591		1	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				3793.464866861739	225.49792876219794		2	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				1032.7312674292102	23.086115476354326		3	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				349.77285750975096	15.562853066845964		4	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				237.39832500381874	17.809033680745095		5	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				166.28151732143166	34.10689541457584		6	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				185.59472704253585	61.3411094597143		7	177c49e6-9b9f-481d-a016-d1c1f252a83d
beads				546.4322195547755	258.599330226943		8	177c49e6-9b9f-481d-a016-d1c1f252a83d
