pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	1430.3251841430936			3733.1059605554574			1	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	430.0988445248188			3817.004900427973			2	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	240.9733288279575			2217.1285686811784			3	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	142.34431499170014			887.1361271313788			4	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	135.76563492640827			514.5596064463499			5	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	186.9705037488234			285.8341612099414			6	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	253.5077082403744			278.1157248604171			7	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	419.5088911680442			362.0010306236654			8	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	592.8927112378418			627.8478270592706			9	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	834.312390295588			1081.0779274318966			10	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	1132.916249602155			1895.7068387021332			11	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	1691.2031094222616			2675.5414836239843			12	03ae26dd-559d-4fe2-8b24-4635b3628614
beads	1813.4753856994848			3218.8601658635134			13	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				1362.9227608168858	2396.2639282575565		1	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				1026.755004214664	1341.6903306761903		2	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				468.63045066860803	566.7457198822892		3	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				215.14317951502412	472.4055512864789		4	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				148.99782010757824	777.882004975319		5	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				252.91193096519737	1359.5158875651136		6	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				587.5417400932133	2557.7315629977456		7	03ae26dd-559d-4fe2-8b24-4635b3628614
croco				923.1476657825598	3190.682636351516		8	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	3676.5066237337987				3770.6421034882887		1	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	44.94872630965904				3539.518485448227		2	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	1.2252018617247382				203.4885463299419		3	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	1.2994331951657498				33.08191882723354		4	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	107.34667803144815				14.236658228565718		5	03ae26dd-559d-4fe2-8b24-4635b3628614
picoeuk	3538.5035620231847				682.6967108600609		6	03ae26dd-559d-4fe2-8b24-4635b3628614
prochloro	27.753807706800167				34.52142916452527		1	03ae26dd-559d-4fe2-8b24-4635b3628614
prochloro	15.203497187278844				44.640418764560415		2	03ae26dd-559d-4fe2-8b24-4635b3628614
prochloro	7.954680335540245				41.882315394577596		3	03ae26dd-559d-4fe2-8b24-4635b3628614
prochloro	4.1945420425825555				29.82426468668883		4	03ae26dd-559d-4fe2-8b24-4635b3628614
prochloro	2.3535430227809253				16.98648807108684		5	03ae26dd-559d-4fe2-8b24-4635b3628614
