id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
4e1f0d0d-9f35-48f8-80e8-a8f44264f9cd	2023-03-01T00:35:46+00:00	1	beads	manual	chl_small	pe						
4e1f0d0d-9f35-48f8-80e8-a8f44264f9cd	2023-03-01T00:35:46+00:00	2	synecho	manual	fsc_small	pe						
4e1f0d0d-9f35-48f8-80e8-a8f44264f9cd	2023-03-01T00:35:46+00:00	3	croco	manual	chl_small	pe						
4e1f0d0d-9f35-48f8-80e8-a8f44264f9cd	2023-03-01T00:35:46+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
4e1f0d0d-9f35-48f8-80e8-a8f44264f9cd	2023-03-01T00:35:46+00:00	5	picoeuk	manual	fsc_small	chl_small						
cd2a0b36-e2d6-48d7-a168-30be563d3ad1	2023-03-01T00:46:11+00:00	1	beads	manual	chl_small	pe						
cd2a0b36-e2d6-48d7-a168-30be563d3ad1	2023-03-01T00:46:11+00:00	2	synecho	manual	fsc_small	pe						
cd2a0b36-e2d6-48d7-a168-30be563d3ad1	2023-03-01T00:46:11+00:00	3	croco	manual	chl_small	pe						
cd2a0b36-e2d6-48d7-a168-30be563d3ad1	2023-03-01T00:46:11+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
cd2a0b36-e2d6-48d7-a168-30be563d3ad1	2023-03-01T00:46:11+00:00	5	picoeuk	manual	fsc_small	chl_small						
601bdb43-b117-48e2-824f-51c90bc45f57	2023-03-01T00:54:28+00:00	1	beads	manual	chl_small	pe						
601bdb43-b117-48e2-824f-51c90bc45f57	2023-03-01T00:54:28+00:00	2	synecho	manual	fsc_small	pe						
601bdb43-b117-48e2-824f-51c90bc45f57	2023-03-01T00:54:28+00:00	3	croco	manual	chl_small	pe						
601bdb43-b117-48e2-824f-51c90bc45f57	2023-03-01T00:54:28+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
601bdb43-b117-48e2-824f-51c90bc45f57	2023-03-01T00:54:28+00:00	5	picoeuk	manual	fsc_small	chl_small						
a01fe36f-11d9-4edd-9aff-6a40af326861	2023-03-01T01:03:22+00:00	1	beads	manual	chl_small	pe						
a01fe36f-11d9-4edd-9aff-6a40af326861	2023-03-01T01:03:22+00:00	2	synecho	manual	fsc_small	pe						
a01fe36f-11d9-4edd-9aff-6a40af326861	2023-03-01T01:03:22+00:00	3	croco	manual	chl_small	pe						
a01fe36f-11d9-4edd-9aff-6a40af326861	2023-03-01T01:03:22+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
a01fe36f-11d9-4edd-9aff-6a40af326861	2023-03-01T01:03:22+00:00	5	picoeuk	manual	fsc_small	chl_small						
0dd10ea7-ad26-42d2-90ed-d5f06db3166a	2023-03-01T01:11:06+00:00	1	beads	manual	chl_small	pe						
0dd10ea7-ad26-42d2-90ed-d5f06db3166a	2023-03-01T01:11:06+00:00	2	synecho	manual	fsc_small	pe						
0dd10ea7-ad26-42d2-90ed-d5f06db3166a	2023-03-01T01:11:06+00:00	3	croco	manual	chl_small	pe						
0dd10ea7-ad26-42d2-90ed-d5f06db3166a	2023-03-01T01:11:06+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
0dd10ea7-ad26-42d2-90ed-d5f06db3166a	2023-03-01T01:11:06+00:00	5	picoeuk	manual	fsc_small	chl_small						
c79afab7-33b2-468e-942b-bc3c063e9e87	2023-03-02T19:58:11+00:00	1	beads	manual	chl_small	pe						
c79afab7-33b2-468e-942b-bc3c063e9e87	2023-03-02T19:58:11+00:00	2	synecho	manual	fsc_small	pe						
c79afab7-33b2-468e-942b-bc3c063e9e87	2023-03-02T19:58:11+00:00	3	croco	manual	chl_small	pe						
c79afab7-33b2-468e-942b-bc3c063e9e87	2023-03-02T19:58:11+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.25
c79afab7-33b2-468e-942b-bc3c063e9e87	2023-03-02T19:58:11+00:00	5	picoeuk	manual	fsc_small	chl_small						
5eb58d03-b38e-4a9a-b596-0a5cab024219	2023-03-02T20:07:13+00:00	1	beads	manual	chl_small	pe						
5eb58d03-b38e-4a9a-b596-0a5cab024219	2023-03-02T20:07:13+00:00	2	synecho	manual	fsc_small	pe						
