pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	3930.898850840027			3722.38405104836			1	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	867.2350288761136			3629.384241714075			2	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	572.7372125999397			2801.9419736653067			3	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	528.0226106731906			1814.867401835403			4	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	521.2774836894354			1279.4651313893537			5	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	658.2884235975044			1024.7085323239585			6	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	850.6581986278521			922.5425859457275			7	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	1021.3556430607364			948.3836022940928			8	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	1250.9758619244105			1242.1886555509284			9	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	1720.5301622745997			1799.5020421231854			10	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
beads	3939.697905932528			2340.6716312839408			11	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	3626.3530347820156			2282.66248385065			1	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	2409.9618909858127			1778.135601272516			2	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	1445.429224026611			1151.7298963086803			3	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	1019.4943377603726			922.1355555736408			4	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	768.6897074845084			598.2331697565977			5	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	654.7923228014988			315.1450766012291			6	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	629.0733537878289			173.2057226940577			7	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	891.8416465323215			121.93615467109441			8	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	1659.9198333863762			100.87229039061859			9	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
croco	3729.1361701031583			220.5787715571805			10	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
picoeuk	3803.4841992009106				3764.7862874923944		1	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
picoeuk	45.912465709430755				3468.719080357922		2	0a9f4c9a-5e60-4894-95c2-2826e9a3188e
