id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
d5667b17-cc2c-46ca-827d-9b5e806f67a9	2022-04-08T21:24:39+00:00	1	beads	manual	chl_small	pe						
d5667b17-cc2c-46ca-827d-9b5e806f67a9	2022-04-08T21:24:39+00:00	2	synecho	auto	fsc_small	pe	2.0		0	1	0.975	
d5667b17-cc2c-46ca-827d-9b5e806f67a9	2022-04-08T21:24:39+00:00	3	croco	manual	chl_small	pe						
d5667b17-cc2c-46ca-827d-9b5e806f67a9	2022-04-08T21:24:39+00:00	4	prochloro	manual	fsc_small	chl_small						
d5667b17-cc2c-46ca-827d-9b5e806f67a9	2022-04-08T21:24:39+00:00	5	picoeuk	manual	fsc_small	chl_small						
c7d624dc-d276-4ad3-8727-a0566df60be8	2022-04-08T21:32:02+00:00	1	beads	manual	chl_small	pe						
c7d624dc-d276-4ad3-8727-a0566df60be8	2022-04-08T21:32:02+00:00	2	synecho	manual	fsc_small	pe						
c7d624dc-d276-4ad3-8727-a0566df60be8	2022-04-08T21:32:02+00:00	3	croco	manual	chl_small	pe						
c7d624dc-d276-4ad3-8727-a0566df60be8	2022-04-08T21:32:02+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	1.0	0	1	0.975	1.0
c7d624dc-d276-4ad3-8727-a0566df60be8	2022-04-08T21:32:02+00:00	5	picoeuk	manual	fsc_small	chl_small						
5074b6d6-53d8-4a8a-b1fa-a40e945294a9	2022-04-08T21:41:25+00:00	1	beads	manual	chl_small	pe						
5074b6d6-53d8-4a8a-b1fa-a40e945294a9	2022-04-08T21:41:25+00:00	2	synecho	manual	fsc_small	pe						
5074b6d6-53d8-4a8a-b1fa-a40e945294a9	2022-04-08T21:41:25+00:00	3	croco	manual	chl_small	pe						
5074b6d6-53d8-4a8a-b1fa-a40e945294a9	2022-04-08T21:41:25+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.4	0	1	0.975	
5074b6d6-53d8-4a8a-b1fa-a40e945294a9	2022-04-08T21:41:25+00:00	5	picoeuk	manual	fsc_small	chl_small						
