id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
03bc2278-6950-4906-acb0-ad7192c097ab	2019-05-15T23:54:50+00:00	1	beads	manual	fsc_small	pe						
03bc2278-6950-4906-acb0-ad7192c097ab	2019-05-15T23:54:50+00:00	2	synecho	manual	fsc_small	pe						
03bc2278-6950-4906-acb0-ad7192c097ab	2019-05-15T23:54:50+00:00	3	croco	manual	chl_small	pe						
03bc2278-6950-4906-acb0-ad7192c097ab	2019-05-15T23:54:50+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.45	0	1	0.975	1.5
03bc2278-6950-4906-acb0-ad7192c097ab	2019-05-15T23:54:50+00:00	5	picoeuk	manual	fsc_small	chl_small						
c2bdd4d7-6843-4e05-924d-c487d141d688	2019-05-16T18:15:58+00:00	1	beads	manual	fsc_small	pe						
c2bdd4d7-6843-4e05-924d-c487d141d688	2019-05-16T18:15:58+00:00	2	synecho	manual	fsc_small	pe						
c2bdd4d7-6843-4e05-924d-c487d141d688	2019-05-16T18:15:58+00:00	3	croco	manual	fsc_small	pe						
c2bdd4d7-6843-4e05-924d-c487d141d688	2019-05-16T18:15:58+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.45	0	1	0.975	1.5
c2bdd4d7-6843-4e05-924d-c487d141d688	2019-05-16T18:15:58+00:00	5	picoeuk	manual	fsc_small	chl_small						
07e1a6ca-a3f7-400b-8336-2d86ded6ae7a	2019-05-16T18:45:29+00:00	1	beads	manual	fsc_small	pe						
07e1a6ca-a3f7-400b-8336-2d86ded6ae7a	2019-05-16T18:45:29+00:00	2	synecho	manual	fsc_small	pe						
07e1a6ca-a3f7-400b-8336-2d86ded6ae7a	2019-05-16T18:45:29+00:00	3	croco	manual	fsc_small	pe						
07e1a6ca-a3f7-400b-8336-2d86ded6ae7a	2019-05-16T18:45:29+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.4	0	1	0.99	1.5
07e1a6ca-a3f7-400b-8336-2d86ded6ae7a	2019-05-16T18:45:29+00:00	5	picoeuk	manual	fsc_small	chl_small						
a047ab40-3b41-4b9f-89f4-3638d848427a	2020-07-21T18:53:15+00:00	1	beads	manual	fsc_small	pe						
a047ab40-3b41-4b9f-89f4-3638d848427a	2020-07-21T18:53:15+00:00	2	synecho	manual	fsc_small	pe						
a047ab40-3b41-4b9f-89f4-3638d848427a	2020-07-21T18:53:15+00:00	3	croco	manual	chl_small	pe						
a047ab40-3b41-4b9f-89f4-3638d848427a	2020-07-21T18:53:15+00:00	4	prochloro	manual	fsc_small	chl_small						
a047ab40-3b41-4b9f-89f4-3638d848427a	2020-07-21T18:53:15+00:00	5	picoeuk	manual	fsc_small	chl_small						
30340208-38a0-46cb-b040-91dbc233a0fe	2020-07-21T20:43:40+00:00	1	beads	manual	fsc_small	pe						
30340208-38a0-46cb-b040-91dbc233a0fe	2020-07-21T20:43:40+00:00	2	synecho	manual	fsc_small	pe						
30340208-38a0-46cb-b040-91dbc233a0fe	2020-07-21T20:43:40+00:00	3	croco	manual	chl_small	pe						
30340208-38a0-46cb-b040-91dbc233a0fe	2020-07-21T20:43:40+00:00	4	prochloro	manual	fsc_small	chl_small						
30340208-38a0-46cb-b040-91dbc233a0fe	2020-07-21T20:43:40+00:00	5	picoeuk	manual	fsc_small	chl_small						
0e12af79-eca5-4b93-9328-247b01556425	2020-07-21T21:39:56+00:00	1	beads	manual	fsc_small	pe						
0e12af79-eca5-4b93-9328-247b01556425	2020-07-21T21:39:56+00:00	2	synecho	manual	fsc_small	pe						
0e12af79-eca5-4b93-9328-247b01556425	2020-07-21T21:39:56+00:00	3	croco	manual	chl_small	pe						
0e12af79-eca5-4b93-9328-247b01556425	2020-07-21T21:39:56+00:00	4	prochloro	manual	fsc_small	chl_small						
0e12af79-eca5-4b93-9328-247b01556425	2020-07-21T21:39:56+00:00	5	picoeuk	manual	fsc_small	chl_small						
ee947e08-fa37-4209-8c39-bc9d7f1754fa	2020-07-22T00:14:59+00:00	1	beads	manual	fsc_small	pe						
ee947e08-fa37-4209-8c39-bc9d7f1754fa	2020-07-22T00:14:59+00:00	2	synecho	manual	fsc_small	pe						
ee947e08-fa37-4209-8c39-bc9d7f1754fa	2020-07-22T00:14:59+00:00	3	croco	manual	chl_small	pe						
ee947e08-fa37-4209-8c39-bc9d7f1754fa	2020-07-22T00:14:59+00:00	4	prochloro	manual	fsc_small	chl_small						
ee947e08-fa37-4209-8c39-bc9d7f1754fa	2020-07-22T00:14:59+00:00	5	picoeuk	manual	fsc_small	chl_small						
0c575aa8-1bcd-4c93-b950-c3f98133fa31	2020-07-22T00:26:00+00:00	1	beads	manual	fsc_small	pe						
0c575aa8-1bcd-4c93-b950-c3f98133fa31	2020-07-22T00:26:00+00:00	2	synecho	manual	fsc_small	pe						
0c575aa8-1bcd-4c93-b950-c3f98133fa31	2020-07-22T00:26:00+00:00	3	croco	manual	chl_small	pe						
0c575aa8-1bcd-4c93-b950-c3f98133fa31	2020-07-22T00:26:00+00:00	4	prochloro	manual	fsc_small	chl_small						
0c575aa8-1bcd-4c93-b950-c3f98133fa31	2020-07-22T00:26:00+00:00	5	picoeuk	manual	fsc_small	chl_small						
88f2641b-7358-4279-a2cc-4b434d838b9f	2020-07-22T18:02:43+00:00	1	beads	manual	fsc_small	pe						
88f2641b-7358-4279-a2cc-4b434d838b9f	2020-07-22T18:02:43+00:00	2	synecho	manual	fsc_small	pe						
88f2641b-7358-4279-a2cc-4b434d838b9f	2020-07-22T18:02:43+00:00	3	croco	manual	chl_small	pe						
88f2641b-7358-4279-a2cc-4b434d838b9f	2020-07-22T18:02:43+00:00	4	prochloro	manual	fsc_small	chl_small						
88f2641b-7358-4279-a2cc-4b434d838b9f	2020-07-22T18:02:43+00:00	5	picoeuk	manual	fsc_small	chl_small						
254a6bac-fa33-4868-91bc-05768ff45046	2020-07-22T18:26:04+00:00	1	beads	manual	fsc_small	pe						
254a6bac-fa33-4868-91bc-05768ff45046	2020-07-22T18:26:04+00:00	2	synecho	manual	fsc_small	pe						
