id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
752bcad3-edb6-4987-8684-94314eca82d4	2020-05-09T00:12:16+00:00	1	beads	manual	chl_small	pe						
752bcad3-edb6-4987-8684-94314eca82d4	2020-05-09T00:12:16+00:00	2	synecho	manual	fsc_small	pe						
752bcad3-edb6-4987-8684-94314eca82d4	2020-05-09T00:12:16+00:00	3	croco	manual	chl_small	pe						
752bcad3-edb6-4987-8684-94314eca82d4	2020-05-09T00:12:16+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.3	0	1	0.99	
752bcad3-edb6-4987-8684-94314eca82d4	2020-05-09T00:12:16+00:00	5	picoeuk	manual	fsc_small	chl_small						
ce1bebfe-89d6-4ebb-b584-e7770fb2b00a	2020-05-09T00:18:23+00:00	1	beads	manual	chl_small	pe						
ce1bebfe-89d6-4ebb-b584-e7770fb2b00a	2020-05-09T00:18:23+00:00	2	synecho	manual	fsc_small	pe						
ce1bebfe-89d6-4ebb-b584-e7770fb2b00a	2020-05-09T00:18:23+00:00	3	croco	manual	chl_small	pe						
ce1bebfe-89d6-4ebb-b584-e7770fb2b00a	2020-05-09T00:18:23+00:00	4	prochloro	auto	fsc_small	chl_small	1.4	0.3	0	1	0.99	
ce1bebfe-89d6-4ebb-b584-e7770fb2b00a	2020-05-09T00:18:23+00:00	5	picoeuk	manual	fsc_small	chl_small						
55617138-e775-4ddf-8543-7e31603dd4fa	2020-05-11T17:26:46+00:00	1	beads	manual	chl_small	pe						
55617138-e775-4ddf-8543-7e31603dd4fa	2020-05-11T17:26:46+00:00	2	synecho	manual	fsc_small	pe						
55617138-e775-4ddf-8543-7e31603dd4fa	2020-05-11T17:26:46+00:00	3	croco	manual	chl_small	pe						
55617138-e775-4ddf-8543-7e31603dd4fa	2020-05-11T17:26:46+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.3	0	1	0.99	
55617138-e775-4ddf-8543-7e31603dd4fa	2020-05-11T17:26:46+00:00	5	picoeuk	manual	fsc_small	chl_small						
5340f88b-5fac-4a89-a249-30192f6ef3b8	2020-05-11T18:10:49+00:00	1	beads	manual	chl_small	pe						
5340f88b-5fac-4a89-a249-30192f6ef3b8	2020-05-11T18:10:49+00:00	2	synecho	manual	fsc_small	pe						
5340f88b-5fac-4a89-a249-30192f6ef3b8	2020-05-11T18:10:49+00:00	3	croco	manual	chl_small	pe						
5340f88b-5fac-4a89-a249-30192f6ef3b8	2020-05-11T18:10:49+00:00	4	prochloro	auto	fsc_small	chl_small	1.25	0.3	0	1	0.99	
5340f88b-5fac-4a89-a249-30192f6ef3b8	2020-05-11T18:10:49+00:00	5	picoeuk	manual	fsc_small	chl_small						
02de253d-873f-49ee-8cac-f0b450678e3e	2020-05-11T18:26:58+00:00	1	beads	manual	chl_small	pe						
