pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads				3738.5106505775607	898.7319012983439		1	02de253d-873f-49ee-8cac-f0b450678e3e
beads				3860.439522748498	232.78423169856046		2	02de253d-873f-49ee-8cac-f0b450678e3e
beads				2173.4887625533224	48.56657469189522		3	02de253d-873f-49ee-8cac-f0b450678e3e
beads				1322.6536515341943	11.733627028029622		4	02de253d-873f-49ee-8cac-f0b450678e3e
beads				654.760317435052	8.063574918650756		5	02de253d-873f-49ee-8cac-f0b450678e3e
beads				287.674426239414	7.840184169978173		6	02de253d-873f-49ee-8cac-f0b450678e3e
beads				184.12318217674058	12.708717658762719		7	02de253d-873f-49ee-8cac-f0b450678e3e
beads				155.4821235210315	24.291733862704394		8	02de253d-873f-49ee-8cac-f0b450678e3e
beads				162.31820527237502	46.239440862536235		9	02de253d-873f-49ee-8cac-f0b450678e3e
beads				182.97105927921325	76.66040576259545		10	02de253d-873f-49ee-8cac-f0b450678e3e
beads				271.19981582854666	148.39661859421855		11	02de253d-873f-49ee-8cac-f0b450678e3e
beads				507.11321611871176	245.1442155753716		12	02de253d-873f-49ee-8cac-f0b450678e3e
beads				2280.1040891247503	473.4381574366296		13	02de253d-873f-49ee-8cac-f0b450678e3e
beads				2449.6645424322146	1335.544464600709		14	02de253d-873f-49ee-8cac-f0b450678e3e
beads				3408.0901755520863	1412.0212375474393		15	02de253d-873f-49ee-8cac-f0b450678e3e
croco				783.1830454153032	1892.8191263433785		1	02de253d-873f-49ee-8cac-f0b450678e3e
croco				493.76367010275044	587.436481827628		2	02de253d-873f-49ee-8cac-f0b450678e3e
croco				264.582421336248	404.3726242669289		3	02de253d-873f-49ee-8cac-f0b450678e3e
croco				174.84868293473815	428.19948542085075		4	02de253d-873f-49ee-8cac-f0b450678e3e
croco				157.94926974042727	697.5158775366024		5	02de253d-873f-49ee-8cac-f0b450678e3e
croco				159.1612245436723	1197.7600806834812		6	02de253d-873f-49ee-8cac-f0b450678e3e
croco				204.67082429910064	1837.7743715936615		7	02de253d-873f-49ee-8cac-f0b450678e3e
croco				312.924368487014	2577.591919110767		8	02de253d-873f-49ee-8cac-f0b450678e3e
croco				527.5368325001623	2868.5820072249267		9	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	3608.101442524807				3664.3148826137754		1	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	16.725891255138873				3829.298695821532		2	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	1.9657833816626726				124.94178598089589		3	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	2.4418387056085056				27.108630447257028		4	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	39.92819707652953				28.883782941556113		5	02de253d-873f-49ee-8cac-f0b450678e3e
picoeuk	3242.9149063492496				530.6705247666163		6	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	19.647159377459765			133.44719759092897			1	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	4.340802863762138			77.02761397697466			2	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	2.353847155566394			36.70526653067386			3	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	1.9779611638841808			16.961559002088766			4	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	3.3475260439839585			6.859211115610961			5	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	5.465114136893137			5.2880574528651385			6	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	9.594496103207762			4.296294399370586			7	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	17.225118759560484			3.4494316523282293			8	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	27.528468458917235			3.272033788808759			9	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	43.56932826598974			3.231376964125927			10	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	101.61514852546084			3.717598820511096			11	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	145.18666509934107			5.0372221983249235			12	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	195.82886985645774			8.661645897467873			13	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	220.64496823923125			17.527165217291326			14	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	215.8175859380285			36.542121041393145			15	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	147.72207726639311			66.76370353088778			16	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	69.47577090922879			121.09976881616774			17	02de253d-873f-49ee-8cac-f0b450678e3e
synecho	29.629575702715957			155.8288187457266			18	02de253d-873f-49ee-8cac-f0b450678e3e
beads	1587.3758959981958			3823.6086288374804			1	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	517.6256104977624			3453.532238488576			2	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	270.3182001149279			1424.9339027328108			3	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	236.77379055431916			885.5852276874353			4	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	188.94304376352977			496.5558146251219			5	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	224.07768202038818			388.0940948600743			6	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	266.792956217732			382.3878470146179			7	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	405.76194094690027			426.55480809866026			8	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	682.8290459085757			741.0669761519852			9	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	1273.716522228236			1861.7468255441595			10	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	1793.3869650914628			3456.7088476423123			11	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				964.3909366171405	1698.0904173812694		1	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				843.5102168940185	748.5077451548402		2	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				456.5621241424526	413.82012701687665		3	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				256.6794402150901	384.96676094180674		4	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				216.57671459336797	631.1119739036586		5	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				232.5239841120886	932.3553592701144		6	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				295.1469552787321	1327.6544401622232		7	0687850c-8ceb-4efd-b64d-ebcaee5081b0
croco				443.9599728685637	1808.5650650094522		8	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	3612.3047425794025				3807.071505660043		1	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	3582.4400722154687				3488.2044552264074		2	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	55.33671125327969				3880.6202884736613		3	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	2.2228689753891917				246.83022750381087		4	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	2.743488572105082				50.034909257683985		5	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	58.698257633874725				11.400133759012256		6	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	289.6998677876411				62.46099599459339		7	0687850c-8ceb-4efd-b64d-ebcaee5081b0
picoeuk	3299.7133494359928				1765.4090367483132		8	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	33.24476566088652			432.32352161915463			1	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	14.117028255126762			276.34075392797797			2	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	4.9517191986951605			64.7198757853244			3	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	4.1263316650433195			18.9279043372777			4	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	5.802145448840616			9.124349917248137			5	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	13.129373230988183			6.643941710298402			6	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	25.289221584222997			6.648694375715464			7	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	70.19743411786678			8.035886792658278			8	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	257.5803515608168			16.98365106822259			9	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	330.20732840582326			66.01866011580017			10	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	200.43519873818735			264.8703719924761			11	0687850c-8ceb-4efd-b64d-ebcaee5081b0
synecho	96.94273310593876			450.03302743839487			12	0687850c-8ceb-4efd-b64d-ebcaee5081b0
beads	368.8744549091287			1720.5634388827846			1	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	200.52735915510524			1158.2436235181942			2	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	127.02978709148343			620.893251719525			3	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	125.64884307605023			371.7001523105993			4	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	182.82909687006256			276.9200648576153			5	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	290.0448043386732			305.1883205839878			6	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	411.0814425682483			471.15560359952246			7	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	536.1389795529485			777.5950155877385			8	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	579.8956547171573			1127.482185437195			9	1af9a37c-39ba-41c9-986c-b794e2e9e855
beads	559.2425530163582			1503.9788398565752			10	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				1575.3734622247139	1589.810127746043		1	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				969.0818663739818	595.3521038319946		2	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				571.9650659485848	426.5024451275935		3	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				407.4109390760216	540.6765228495057		4	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				433.8498626708826	1008.2429924587636		5	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				548.7561706312558	1497.6619695512948		6	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				715.3676304633386	1882.16956663608		7	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				1004.0496528430436	2043.8041566163902		8	1af9a37c-39ba-41c9-986c-b794e2e9e855
croco				1082.6715021292632	2019.8312997833305		9	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	3421.8505458396708				3593.5920970057073		1	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	42.306578944886645				3806.8787926590835		2	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	3.839739663695471				896.3874385311796		3	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	2.502024085594247				67.1943013966439		4	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	2.520711819918698				42.69469359733929		5	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	97.54769647034551				9.954870927264746		6	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	351.6096132682338				143.8799608423115		7	1af9a37c-39ba-41c9-986c-b794e2e9e855
picoeuk	3295.3732990847825				1598.3353967339592		8	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	15.089433332678906				47.57716992225198		1	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	6.397566284557676				33.598630546056874		2	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	4.93615217788024				21.955453427250426		3	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	5.0160008994864205				13.815380716949287		4	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	5.514022028764368				10.575113745298353		5	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	6.0978052668882325				9.217630483679152		6	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	7.545430934949541				8.066187755486373		7	1af9a37c-39ba-41c9-986c-b794e2e9e855
prochloro	10.660357701741098				7.593096387889945		8	1af9a37c-39ba-41c9-986c-b794e2e9e855
