id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
0036f23b-ce9f-4450-a6d8-d63e47d77026	2023-11-07T21:02:27+00:00	1	beads	manual	chl_small	pe						
0036f23b-ce9f-4450-a6d8-d63e47d77026	2023-11-07T21:02:27+00:00	2	synecho	manual	fsc_small	pe						
0036f23b-ce9f-4450-a6d8-d63e47d77026	2023-11-07T21:02:27+00:00	3	croco	manual	chl_small	pe						
0036f23b-ce9f-4450-a6d8-d63e47d77026	2023-11-07T21:02:27+00:00	4	prochloro	manual	fsc_small	chl_small						
0036f23b-ce9f-4450-a6d8-d63e47d77026	2023-11-07T21:02:27+00:00	5	picoeuk	manual	fsc_small	chl_small						
a32bd922-7ce6-4071-93d7-2376f0d0882d	2023-11-07T21:07:20+00:00	1	beads	manual	chl_small	pe						
a32bd922-7ce6-4071-93d7-2376f0d0882d	2023-11-07T21:07:20+00:00	2	synecho	manual	fsc_small	pe						
a32bd922-7ce6-4071-93d7-2376f0d0882d	2023-11-07T21:07:20+00:00	3	croco	manual	chl_small	pe						
a32bd922-7ce6-4071-93d7-2376f0d0882d	2023-11-07T21:07:20+00:00	4	prochloro	manual	fsc_small	chl_small						
a32bd922-7ce6-4071-93d7-2376f0d0882d	2023-11-07T21:07:20+00:00	5	picoeuk	manual	fsc_small	chl_small						
a97d6f79-f417-43cf-a8b2-7574badcbe40	2023-11-07T21:10:10+00:00	1	beads	manual	chl_small	pe						
a97d6f79-f417-43cf-a8b2-7574badcbe40	2023-11-07T21:10:10+00:00	2	synecho	manual	fsc_small	pe						
a97d6f79-f417-43cf-a8b2-7574badcbe40	2023-11-07T21:10:10+00:00	3	croco	manual	chl_small	pe						
a97d6f79-f417-43cf-a8b2-7574badcbe40	2023-11-07T21:10:10+00:00	4	prochloro	manual	fsc_small	chl_small						
a97d6f79-f417-43cf-a8b2-7574badcbe40	2023-11-07T21:10:10+00:00	5	picoeuk	manual	fsc_small	chl_small						
41173497-ff8c-490b-ae18-8b8d2ccd07f7	2023-11-07T21:12:07+00:00	1	beads	manual	chl_small	pe						
41173497-ff8c-490b-ae18-8b8d2ccd07f7	2023-11-07T21:12:07+00:00	2	synecho	manual	fsc_small	pe						
41173497-ff8c-490b-ae18-8b8d2ccd07f7	2023-11-07T21:12:07+00:00	3	croco	manual	chl_small	pe						
41173497-ff8c-490b-ae18-8b8d2ccd07f7	2023-11-07T21:12:07+00:00	4	prochloro	manual	fsc_small	chl_small						
41173497-ff8c-490b-ae18-8b8d2ccd07f7	2023-11-07T21:12:07+00:00	5	picoeuk	manual	fsc_small	chl_small						
05ec6595-e872-43a6-a568-2cd821efc471	2023-11-07T21:15:13+00:00	1	beads	manual	chl_small	pe						
05ec6595-e872-43a6-a568-2cd821efc471	2023-11-07T21:15:13+00:00	2	synecho	manual	fsc_small	pe						
05ec6595-e872-43a6-a568-2cd821efc471	2023-11-07T21:15:13+00:00	3	croco	manual	chl_small	pe						
05ec6595-e872-43a6-a568-2cd821efc471	2023-11-07T21:15:13+00:00	4	prochloro	manual	fsc_small	chl_small						
05ec6595-e872-43a6-a568-2cd821efc471	2023-11-07T21:15:13+00:00	5	picoeuk	manual	fsc_small	chl_small						
d1d4f453-5011-4da4-bab3-1bb696954be1	2023-11-07T21:26:20+00:00	1	beads	manual	chl_small	pe						
d1d4f453-5011-4da4-bab3-1bb696954be1	2023-11-07T21:26:20+00:00	2	synecho	manual	fsc_small	pe						
d1d4f453-5011-4da4-bab3-1bb696954be1	2023-11-07T21:26:20+00:00	3	croco	manual	chl_small	pe						
d1d4f453-5011-4da4-bab3-1bb696954be1	2023-11-07T21:26:20+00:00	4	prochloro	manual	fsc_small	chl_small						
d1d4f453-5011-4da4-bab3-1bb696954be1	2023-11-07T21:26:20+00:00	5	picoeuk	manual	fsc_small	chl_small						
4b7ed2ee-9a28-4653-b5b4-d0199fa17b35	2023-11-07T21:28:22+00:00	1	beads	manual	chl_small	pe						
4b7ed2ee-9a28-4653-b5b4-d0199fa17b35	2023-11-07T21:28:22+00:00	2	synecho	manual	fsc_small	pe						
4b7ed2ee-9a28-4653-b5b4-d0199fa17b35	2023-11-07T21:28:22+00:00	3	croco	manual	chl_small	pe						
4b7ed2ee-9a28-4653-b5b4-d0199fa17b35	2023-11-07T21:28:22+00:00	4	prochloro	manual	fsc_small	chl_small						
4b7ed2ee-9a28-4653-b5b4-d0199fa17b35	2023-11-07T21:28:22+00:00	5	picoeuk	manual	fsc_small	chl_small						
7a5de67a-4f5b-4aa0-a7c2-0cdc6018a441	2023-11-07T21:30:46+00:00	1	beads	manual	chl_small	pe						
7a5de67a-4f5b-4aa0-a7c2-0cdc6018a441	2023-11-07T21:30:46+00:00	2	synecho	manual	fsc_small	pe						
7a5de67a-4f5b-4aa0-a7c2-0cdc6018a441	2023-11-07T21:30:46+00:00	3	croco	manual	chl_small	pe						
7a5de67a-4f5b-4aa0-a7c2-0cdc6018a441	2023-11-07T21:30:46+00:00	4	prochloro	manual	fsc_small	chl_small						
7a5de67a-4f5b-4aa0-a7c2-0cdc6018a441	2023-11-07T21:30:46+00:00	5	picoeuk	manual	fsc_small	chl_small						
bcf5bce8-0576-4cdf-8cd5-9f718e6609ab	2023-11-07T21:34:13+00:00	1	beads	manual	chl_small	pe						
bcf5bce8-0576-4cdf-8cd5-9f718e6609ab	2023-11-07T21:34:13+00:00	2	synecho	manual	fsc_small	pe						
bcf5bce8-0576-4cdf-8cd5-9f718e6609ab	2023-11-07T21:34:13+00:00	3	croco	manual	chl_small	pe						
bcf5bce8-0576-4cdf-8cd5-9f718e6609ab	2023-11-07T21:34:13+00:00	4	prochloro	manual	fsc_small	chl_small						
bcf5bce8-0576-4cdf-8cd5-9f718e6609ab	2023-11-07T21:34:13+00:00	5	picoeuk	manual	fsc_small	chl_small						
ae38f6e0-fd03-43d3-a1ec-2515ad0a6d6a	2023-11-07T21:36:16+00:00	1	beads	manual	chl_small	pe						
ae38f6e0-fd03-43d3-a1ec-2515ad0a6d6a	2023-11-07T21:36:16+00:00	2	synecho	manual	fsc_small	pe						
ae38f6e0-fd03-43d3-a1ec-2515ad0a6d6a	2023-11-07T21:36:16+00:00	3	croco	manual	chl_small	pe						
