pop	fsc_small	fsc_perp	fsc_big	pe	chl_small	chl_big	point_order	gating_id
beads	1144.140621195476			1760.9065020724188			1	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	682.8234866562005			970.8236918118764			2	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	485.53793288010735			441.624135553946			3	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	393.99963117040824			220.49569301508555			4	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	385.21777541342374			153.23998529681904			5	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	491.5130248213508			112.21184390285617			6	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	706.3195189124543			139.9454355221424			7	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	1184.5317792977953			303.6049218542673			8	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	1607.9600786096714			525.9993914321103			9	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	1732.3002305494424			1361.4441710676103			10	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				572.6587477809115	1208.1682627134064		1	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				309.3476767021781	647.3469983741527		2	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				122.0316969623293	467.42152747556696		3	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				77.4578304180739	485.766395293209		4	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				74.65546930422228	807.9112051555934		5	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				87.83795281477487	1035.7439234437825		6	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				134.8030323014448	1263.6339622150747		7	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				267.1292800545543	1675.5281697095938		8	01bea30c-13aa-411f-b6de-b7c5208728e2
croco				403.3262253781168	1842.1955095040616		9	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	3541.0247523023686				3667.153353275519		1	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	29.468852805480733				3471.7212830151743		2	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	6.552323174436323				703.026674593728		3	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	5.691460502054347				113.14830270339668		4	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	84.03246847158593				15.548756341136158		5	01bea30c-13aa-411f-b6de-b7c5208728e2
picoeuk	3985.446642374832				1639.5186547466626		6	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	105.15533917024611			465.4613324201191			1	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	22.056159541231853			237.26695429071262			2	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	7.723231357881251			118.56571386013705			3	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	4.057533408447487			26.058639515183575			4	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	4.982418000423097			6.906209340494012			5	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	8.36788304198372			3.915920432474523			6	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	47.655095296845644			3.6962022145672293			7	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	111.4062265364366			5.158472178432919			8	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	195.40326431721985			6.724013002314476			9	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	306.4051859499981			12.78214244514284			10	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	462.0652393356457			28.39356503840274			11	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	504.35649709738885			58.40954304561662			12	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	459.03210643125936			105.65863601347269			13	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	360.0434006775426			194.9197393372853			14	01bea30c-13aa-411f-b6de-b7c5208728e2
synecho	206.7350284012543			389.6190883118366			15	01bea30c-13aa-411f-b6de-b7c5208728e2
beads	726.7391162730462			864.8006225815242			1	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	356.65784338050725			567.1405135757103			2	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	261.45387467824185			248.6172778607135			3	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	225.91346707944263			166.85292901161108			4	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	211.39826234804448			130.60003427779364			5	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	264.86857022882907			108.03769746883299			6	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	430.93865094555264			93.39199129630393			7	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	643.4758930731749			113.24592886369467			8	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	1084.1434864999246			205.16712502522591			9	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	1480.0178072620392			416.27351678531613			10	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	1357.1385879572044			681.8017137221087			11	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	3456.809787565393				3714.1741691154702		1	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	32.22535690159872				3662.55592599626		2	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	7.398427348892172				492.78251586741044		3	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	5.4233257560268795				111.39225208525367		4	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	5.656538769791977				72.63467240972479		5	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	100.27987822644404				18.51945062446599		6	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
picoeuk	3637.8292264056427				1516.7755472481024		7	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	60.47676822963543			273.1548014021721			1	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	26.76914111941764			212.62667118915218			2	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	12.821387435279576			115.59173533361256			3	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	7.280178901989091			63.448890061505615			4	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	4.745640631859152			31.44637578174919			5	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	4.057056246266663			17.207026539292087			6	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	4.535913661398708			9.30354296938718			7	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	7.162416367414217			4.642739863191571			8	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	16.1762369644798			3.5460352592157394			9	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	43.39974609721992			3.8661939776177863			10	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	106.9094185559879			5.850676298847892			11	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	220.48013423635388			10.601305402669167			12	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	384.59911917182995			19.965604049909228			13	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	433.1743931274578			35.52237388836531			14	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	406.82292005012835			72.50096668499427			15	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	264.6506090426212			129.18446240389883			16	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	144.8813316110171			232.19687157338544			17	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
synecho	103.9177451730279			244.81633893069446			18	0da10f58-3c34-4a2d-9df5-cbdf5abd752a
beads	2034.5254519339928			1536.4620701527565			1	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	1035.8251403308363			1251.6942848371602			2	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	354.4066925375705			750.0650365458077			3	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	271.41943217502353			543.0097945132809			4	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	245.61012567095662			318.65819497285884			5	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	241.93007234048463			210.61818984193482			6	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	281.3718030526106			156.82901245105964			7	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	392.3087821222261			134.29718857316857			8	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	627.9726420283348			149.96270129558565			9	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	1196.0936848448773			256.42201902011453			10	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	2314.33041102875			543.8251830797576			11	102eda10-d627-47b5-9b61-3f0ada7805bf
beads	2918.8955902443254			1059.5912293132496			12	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				722.6488657839774	1899.4744114555103		1	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				588.3707441291983	1200.6440546172842		2	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				362.6159598216467	790.5378759546323		3	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				210.40546147396142	575.7201527510698		4	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				155.24743566444204	555.2543912875792		5	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				125.79794142615017	682.4760786251313		6	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				122.03401952941867	911.2064616867744		7	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				146.80486321808266	1232.041509736217		8	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				233.24276323157287	1936.4746843732814		9	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				342.63399255714575	2437.99987764039		10	102eda10-d627-47b5-9b61-3f0ada7805bf
croco				543.3590969479417	2529.71901837043		11	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	3496.6818764065456				3619.883917866512		1	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	127.43880044210397				3567.5027370453154		2	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	13.221922630591308				1479.4860171757346		3	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	7.064863411675188				637.8138737550004		4	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	3.1856386708299325				110.06518118274639		5	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	3.6271959585088847				31.06569976430519		6	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	34.61856805515232				8.507712461786488		7	102eda10-d627-47b5-9b61-3f0ada7805bf
picoeuk	3815.6769683536354				917.4164261779396		8	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	31.880231290865268				80.72303362434117		1	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	16.97310659378876				74.31733833671444		2	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	9.978762994381743				55.61965806261373		3	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	5.789755228236918				38.39579755944617		4	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	3.7354082073459978				24.789481067972694		5	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	3.1024598500268894				15.67501087944204		6	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	2.8298879653474183				10.484923087830397		7	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	2.678208122856493				7.043650647486629		8	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	2.679930936380844				4.126771177008031		9	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	3.0918376452770944				2.8451633702525294		10	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	4.237827644707034				2.2583579297715914		11	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	5.910674390932925				2.141701245409841		12	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	8.566060590887586				2.1136852406362374		13	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	12.881423385791603				2.2719531988864814		14	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	16.78650932262767				3.228831785577716		15	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	23.967784133902658				5.318054589627683		16	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	37.96926705299134				12.523511133437594		17	102eda10-d627-47b5-9b61-3f0ada7805bf
prochloro	49.04093513625827				23.768107087877297		18	102eda10-d627-47b5-9b61-3f0ada7805bf
